"","logFC","logCPM","LR","PValue","FDR"
"hsa-miR-99a-5p",0.5004610177159,8.202412941257,8.70094404140404,0.00318045292443622,0.0103970136209996
"hsa-miR-382-3p",-2.92307391376503,2.65635163173476,8.63929432989586,0.00328988835903265,0.0107004449657426
"hsa-miR-200a-3p",-0.528665833302782,9.26037413791395,8.62487418701644,0.0033160334230804,0.0107312840425315
"hsa-miR-26a-5p",0.491972786335054,13.8327830160613,8.38991783068153,0.00377307965581697,0.0121493164917307
"hsa-miR-222-5p",0.914743972788855,5.54674662054541,8.3790456256524,0.00379571688143365,0.0121614013514591
"hsa-miR-5689",2.66946301273225,2.04388816451639,8.29424744123963,0.00397708580266448,0.0126794220639402
"hsa-miR-548aq-3p",-1.58587959083548,3.79539786861908,8.21344610406645,0.00415811071740786,0.013191247793156
"hsa-miR-7-1-3p",-1.44939670455297,4.09610443795744,8.15888858823089,0.00428506227941798,0.0135273534703195
"hsa-miR-30e-3p",-0.422342100508481,10.7526686382033,8.11745089074522,0.00438411610036798,0.0137725403348145
"hsa-miR-4677-3p",-0.647447403476803,7.52251973638059,7.94646614369832,0.00481813676650599,0.0150625246486886
"hsa-miR-28-5p",0.56258434393064,6.85307264897942,7.82528153245226,0.00515204211034936,0.0160103021790104
"hsa-miR-3158-5p",1.85806634703938,2.60610077395542,7.81863302811167,0.00517102927520832,0.0160103021790104
"hsa-miR-142-3p",-0.545999136727776,7.25290124111262,7.55558037094487,0.00598245283061039,0.0184339694876225
"hsa-miR-362-5p",-0.984315621991142,5.24443684250496,7.53207828832056,0.00606099484854693,0.0185870508688773
"hsa-miR-96-5p",-0.638812110748605,6.92247094181557,7.44415428694296,0.00636428172067961,0.0194246323607472
"hsa-miR-548d-5p",-1.12682297044462,4.63895593621926,7.31510144591669,0.00683775392074345,0.0207712902120697
"hsa-miR-6873-3p",-2.00098148495499,3.03194897480755,7.27521030337826,0.00699127070372929,0.0211379264469562
"hsa-miR-193a-3p",-1.59918679826661,4.03307069726065,7.2460491826388,0.00710571826451288,0.02138356337545
"hsa-miR-2467-3p",3.2781430222945,1.90048195522859,7.23416384306699,0.00715291162260838,0.0214254655114409
"hsa-miR-4745-5p",1.74519868359605,2.91628160170695,7.07296779009563,0.00782555271929218,0.0233317405149267
"hsa-miR-320a-3p",0.449974216060526,12.1333584517249,6.89769966094376,0.00863067302905222,0.0256136102797679
"hsa-miR-134-5p",1.10248290815341,3.90132322216469,6.74075371205651,0.00942348034312815,0.027838171288874
"hsa-miR-19b-1-5p",-2.59689872146604,2.46854492344141,6.65241866145086,0.00990213180137029,0.0291185976259473
"hsa-miR-6735-5p",1.79731841844178,2.46230608885212,6.64291038243336,0.00995511717317612,0.0291413429978428
"hsa-let-7d-5p",0.463829566239461,7.49277274327362,6.57150507751521,0.0103624282935225,0.0301963973802195
"hsa-miR-299-5p",2.45483673676875,1.96642372106283,6.49854444770447,0.0107962842535141,0.0313189507174013
"hsa-miR-4484",-2.18907247394514,2.77370901731694,6.46565138066876,0.010997932160769,0.0317608444463463
"hsa-miR-4426",2.62673865632378,2.03979984342537,6.44855897201091,0.0111042371519623,0.0319246818118916
"hsa-miR-4749-5p",2.91545344377403,1.81559317329039,6.43698550795313,0.011176815598029,0.0319905299783586
"hsa-miR-4793-3p",2.97523161339097,1.81599010221041,6.40343061383221,0.0113900061586335,0.0324564777263714
"hsa-miR-10396b-5p",-2.17076336399705,2.77273121986647,6.2953271154709,0.012105667477629,0.0343438319629651
"hsa-miR-142-5p",0.63331865728306,6.06712429750295,6.24009937280363,0.0124889468229221,0.0351760984699291
"hsa-miR-15b-3p",-0.677908065906079,5.80784267389671,6.23736118670373,0.0125082710397729,0.0351760984699291
"hsa-miR-505-3p",-0.558435859147391,6.74988797668648,6.20733070725754,0.0127222325761577,0.0356222512132416
"hsa-miR-190a-5p",-2.59334380135987,2.46937477515589,6.1755653606071,0.0129526514699571,0.0361104222798804
"hsa-miR-203b-5p",2.1331866686672,2.70713095387299,6.0930489257351,0.0135714698336313,0.037672528331287
"hsa-miR-30c-1-3p",-0.715177940466491,5.5065372966923,6.08492637269793,0.0136340049017843,0.0376836873680218
"hsa-miR-3184-5p",0.371349774556458,10.0618936198026,6.046387428559,0.0139347785469355,0.0383504161719078
"hsa-miR-378a-5p",0.678868658072216,6.06063295041122,5.99734972567712,0.0143273853238703,0.0392631325471168
"hsa-miR-548aa",-1.83416518212299,2.92799533905583,5.92108802667882,0.0149607171305179,0.0406662412623152
"hsa-miR-4760-5p",-2.50644105839909,2.42354316990987,5.92050341384439,0.0149656819552309,0.0406662412623152
"hsa-miR-193a-5p",0.394746931477774,9.12341198570886,5.83299954379676,0.0157282835881237,0.0425588850031582
"hsa-miR-4517",-2.60479134033323,2.47591510629582,5.82159745636553,0.0158305610284637,0.0426564071227224
"hsa-miR-210-5p",-2.50990476802191,2.42047244772765,5.72685813021581,0.0167073480001549,0.0448313838004155
"hsa-miR-548g-3p",-1.51761997521841,3.24660631427199,5.68463199900729,0.0171141283970452,0.0457323596999881
"hsa-miR-197-3p",0.424944855193672,8.36733623228196,5.62889893316817,0.0176667250336077,0.0470139294282784
